@relation 'Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N6-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N5-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N4-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N3-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N2-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N1-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N7-L0.01-O1.0E-6-P7-E7-weights-file/home/jorge/workspace_java/melanoma2-S2-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceLayer0_hidden-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceLayer1_hidden-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceLayer2_hidden-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceLayer3_hidden-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceLayer4_hidden-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceLayer5_hidden-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceLayer6_hidden-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-findhidden-replaceAUTO-PIRAM_Layer7_hidden-Rfirst-last_Spanish Melanoma-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C26-Lfirst-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.unsupervised.attribute.Remove-V-R7-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute AUTO-PIRAM_Layer7_hidden_unit_4output numeric
@attribute Layer6_AUTO-PIRAM_Layer7_hidden_unit_4output numeric
@attribute Layer5_Layer6_AUTO-PIRAM_Layer7_hidden_unit_2output numeric
@attribute Layer4_Layer5_Layer6_AUTO-PIRAM_Layer7_hidden_unit_2output numeric
@attribute Layer4_Layer5_Layer6_AUTO-PIRAM_Layer7_hidden_unit_3output numeric
@attribute Layer3_Layer4_Layer5_Layer6_AUTO-PIRAM_Layer7_hidden_unit_0output numeric
@attribute Layer0_Layer1_Layer2_Layer3_Layer4_Layer5_Layer6_AUTO-PIRAM_Layer7_hidden_unit_4output numeric
@attribute TREC numeric

@data
0.340824,0.631043,0.517656,0.544276,0.38412,0.371667,0.340824,0
0.252397,0.568263,0.557184,0.604213,0.346343,0.32365,0.252397,0
0.532629,0.65134,0.482425,0.48793,0.561873,0.510571,0.532629,0
0.688276,0.517145,0.574245,0.601416,0.587288,0.589638,0.688276,60
0.624167,0.524432,0.517183,0.55407,0.608718,0.623739,0.624167,60
0.675972,0.54575,0.521349,0.547985,0.615475,0.63026,0.675972,60
0.548442,0.522909,0.35602,0.35836,0.506022,0.638077,0.548442,60
0.675972,0.54575,0.521349,0.547985,0.615475,0.63026,0.675972,60
0.618863,0.50936,0.566818,0.568745,0.612953,0.621819,0.618863,60
0.57268,0.537327,0.461541,0.504739,0.630098,0.656725,0.57268,60
0.566661,0.500818,0.400273,0.401874,0.481466,0.604464,0.566661,60
0.622695,0.556915,0.46613,0.499717,0.636625,0.662753,0.622695,60
0.67042,0.543438,0.520922,0.54867,0.614769,0.629572,0.67042,60
0.534558,0.488286,0.397015,0.404433,0.476788,0.600443,0.534558,60
0.688276,0.517145,0.574245,0.601416,0.587288,0.589638,0.688276,6
0.582808,0.609272,0.587454,0.590296,0.511078,0.432987,0.582808,60
0.652671,0.568746,0.468811,0.496562,0.640381,0.666245,0.652671,60
0.654508,0.569474,0.468973,0.496364,0.640607,0.666456,0.654508,60
0.54716,0.595961,0.58427,0.593791,0.50571,0.427936,0.54716,60
0.363583,0.389453,0.544116,0.632152,0.542759,0.547732,0.363583,60
0.580757,0.474268,0.450246,0.452497,0.453557,0.56511,0.580757,60
0.652671,0.568746,0.468811,0.496562,0.640381,0.666245,0.652671,60
0.280334,0.357733,0.536616,0.640308,0.53167,0.537198,0.280334,0
0.66321,0.540447,0.52036,0.549547,0.613845,0.628674,0.66321,60
0.68128,0.547967,0.521752,0.547321,0.616145,0.630915,0.68128,60
0.557788,0.497348,0.399369,0.402581,0.480178,0.60336,0.557788,60
0.637192,0.562626,0.467436,0.498209,0.638458,0.664454,0.637192,60
0.591329,0.612446,0.588197,0.589437,0.512356,0.4342,0.591329,60
0.65042,0.567854,0.468613,0.496804,0.640104,0.665986,0.65042,60
0.654508,0.569474,0.468973,0.496364,0.640607,0.666456,0.654508,60
0.604102,0.549616,0.464436,0.501612,0.634233,0.660539,0.604102,60
0.579078,0.607882,0.587126,0.590669,0.510518,0.432456,0.579078,60
0.533492,0.522044,0.457909,0.508562,0.624803,0.651849,0.533492,60
0.598204,0.481272,0.451912,0.450823,0.456107,0.567423,0.598204,60
0.547091,0.493172,0.398283,0.403433,0.47862,0.602022,0.547091,60
0.641142,0.564185,0.467789,0.497792,0.638952,0.664914,0.641142,60
0.704089,0.491502,0.624396,0.650387,0.559477,0.549085,0.704089,60
0.621222,0.58582,0.420202,0.450534,0.661168,0.696248,0.621222,60
0.518247,0.646429,0.480815,0.489069,0.559881,0.508736,0.518247,60
0.450365,0.592317,0.523717,0.548292,0.521184,0.457385,0.450365,31
0.631118,0.527263,0.517763,0.553289,0.609645,0.624626,0.631118,60
0.61355,0.588308,0.638608,0.639377,0.486489,0.396341,0.61355,60
0.654508,0.569474,0.468973,0.496364,0.640607,0.666456,0.654508,60
0.580987,0.506432,0.401733,0.40073,0.483535,0.606231,0.580987,60
0.47431,0.535815,0.6258,0.651056,0.465916,0.377846,0.47431,22
0.646259,0.566207,0.468244,0.497249,0.639589,0.665506,0.646259,60
0.618035,0.584639,0.419872,0.450796,0.660793,0.695919,0.618035,60
0.637192,0.562626,0.467436,0.498209,0.638458,0.664454,0.637192,60
0.616961,0.554661,0.46561,0.500306,0.635892,0.662074,0.616961,60
0.637192,0.562626,0.467436,0.498209,0.638458,0.664454,0.637192,60
0.633572,0.462591,0.506903,0.502456,0.43001,0.527921,0.633572,60
0.674777,0.511435,0.573218,0.603041,0.58557,0.587947,0.674777,60
0.61774,0.456158,0.505425,0.504092,0.42777,0.525817,0.61774,60
0.679703,0.513511,0.573598,0.602455,0.5862,0.588565,0.679703,60
0.579078,0.607882,0.587126,0.590669,0.510518,0.432456,0.579078,60
0.550964,0.629262,0.533543,0.538777,0.536085,0.471354,0.550964,60
0.64466,0.565575,0.468102,0.497419,0.639391,0.665321,0.64466,60
0.627975,0.558993,0.466607,0.499171,0.637296,0.663375,0.627975,60
0.424836,0.508339,0.551051,0.607142,0.429563,0.477523,0.424836,60
0.655934,0.570039,0.469099,0.49621,0.640781,0.666619,0.655934,60
0.64466,0.565575,0.468102,0.497419,0.639391,0.665321,0.64466,60
0.507869,0.581198,0.580663,0.597513,0.499776,0.42242,0.507869,60
0.570419,0.502289,0.400656,0.401574,0.48201,0.604929,0.570419,60
0.654508,0.569474,0.468973,0.496364,0.640607,0.666456,0.654508,60
0.616738,0.521415,0.516557,0.554894,0.607721,0.622787,0.616738,60
0.522962,0.636427,0.411162,0.439264,0.532198,0.618497,0.522962,60
0.632805,0.560895,0.467042,0.498668,0.637907,0.663942,0.632805,60
0.637192,0.562626,0.467436,0.498209,0.638458,0.664454,0.637192,60
0.67042,0.543438,0.520922,0.54867,0.614769,0.629572,0.67042,60
0.638003,0.488401,0.611904,0.613589,0.589722,0.58775,0.638003,2
0.627534,0.491888,0.569333,0.608272,0.579378,0.581957,0.627534,60
0.604102,0.549616,0.464436,0.501612,0.634233,0.660539,0.604102,60
0.641142,0.564185,0.467789,0.497792,0.638952,0.664914,0.641142,60
0.67814,0.546655,0.521514,0.547715,0.615749,0.630527,0.67814,60
0.546724,0.627734,0.533129,0.539179,0.535462,0.470765,0.546724,60
0.675972,0.54575,0.521349,0.547985,0.615475,0.63026,0.675972,60
0.606623,0.48467,0.452711,0.450006,0.457332,0.568534,0.606623,60
0.66321,0.540447,0.52036,0.549547,0.613845,0.628674,0.66321,60
0.563416,0.633737,0.534754,0.53759,0.537911,0.473083,0.563416,60
0.65042,0.567854,0.468613,0.496804,0.640104,0.665986,0.65042,60
0.590381,0.478125,0.451167,0.451577,0.454965,0.566388,0.590381,60
0.627975,0.558993,0.466607,0.499171,0.637296,0.663375,0.627975,60
0.627975,0.558993,0.466607,0.499171,0.637296,0.663375,0.627975,60
0.627534,0.491888,0.569333,0.608272,0.579378,0.581957,0.627534,60
0.622695,0.556915,0.46613,0.499717,0.636625,0.662753,0.622695,60
0.647751,0.566798,0.468376,0.49709,0.639774,0.665679,0.647751,60
0.675972,0.54575,0.521349,0.547985,0.615475,0.63026,0.675972,60
0.559633,0.600626,0.585396,0.592584,0.507591,0.429698,0.559633,60
0.582522,0.507034,0.40189,0.400607,0.483756,0.60642,0.582522,60
0.516651,0.584509,0.581476,0.596689,0.501102,0.423648,0.516651,29
0.627975,0.558993,0.466607,0.499171,0.637296,0.663375,0.627975,60
0.688653,0.485024,0.623123,0.652008,0.55763,0.547302,0.688653,14
